GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Planes,PlanFamiliarStrategy,0,20,0,0,0,3,0,2,0,2
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Planes,PlanPremiumStrategy,0,4,0,0,0,1,0,1,0,1
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Planes,PlanLimitadoStrategy,0,47,0,0,0,10,0,7,0,7
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Planes,PlanBasicoStrategy,0,4,0,0,0,1,0,1,0,1
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Contenidos,Pelicula,0,8,0,0,0,3,0,2,0,2
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Contenidos,Serie,0,30,0,0,0,4,0,4,0,4
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Contenidos,Temporada,0,31,0,0,0,4,0,4,0,4
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Contenidos,Contenido,0,25,0,0,0,7,0,4,0,4
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Contenidos,Documental,0,8,0,0,0,2,0,2,0,2
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Contenidos,Episodio,0,19,0,0,0,7,0,3,0,3
plataforma-contenidos,ar.edu.unahur.obj2.w2j.Contenidos,IDRA,0,21,0,0,0,6,0,5,0,5
plataforma-contenidos,ar.edu.unahur.obj2.w2j,Usuario,0,36,0,0,0,8,0,7,0,7
plataforma-contenidos,ar.edu.unahur.obj2.w2j,Plataforma,0,44,0,0,0,8,0,8,0,8
